geneID,6-7 internode,7-8 internode,B73 Mature Pollen,Ear Primordium 2-4 mm,Ear Primordium 6-8 mm,Embryo 20 DAP,Embryo 38 DAP,Endosperm 12 DAP,Endosperm Crown 27 DAP,Female Spikelet Collected on day as silk,Germinatin Kernels 2 DAI,Leaf Zone 1 (Symmetrical),Leaf Zone 2 (Stomatal),Leaf Zone 3 (Growth),Mature Leaf 8,Pericarp/Aleurone 27 DAP,Primary Root 5 Days,Root - Cortex 5 Days,Root - Elongation Zone 5 Days,Root - Meristem Zone 5 Days,Secondary Root 7-8 Days,Silk,Vegetative Meristem 16-19 Day
Zm00001d000001,26965.87557,32317.18867,NA,1415.885645,814.7749164,NA,419.0191142,NA,23.88384717,2228.000097,384.5544989,16648.88666,7637.119135,4075.926477,810.8531638,280.0719611,368.7678056,987.0976912,228.9906856,159.7307455,91.32749612,41777.97884,20930.89197
Zm00001d000002,23.58523101,68.1809219,NA,9.543431783,15.15490775,67.06523195,7.491022022,675.7601207,1568.197336,7.27861888,NA,20.65360772,21.58271686,30.65117739,NA,123.4614048,NA,NA,NA,NA,NA,2.705307271,34.63414943
Zm00001d000005,21.74161633,13.02050309,NA,NA,28.93774693,NA,NA,NA,NA,NA,NA,NA,8.833164379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d000009,NA,NA,NA,NA,NA,NA,NA,75.40022969,64.6533162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d000021,203.3288767,233.4294899,43.28534916,NA,55.80967057,689.1090149,81.12166804,335.1444892,76.98435742,213.108728,105.3657563,251.0087634,75.73026392,58.22522041,NA,106.4311989,147.0786945,130.2101092,92.64591095,82.40396701,17.09424909,145.9949911,145.0311059
Zm00001d000023,19.80306343,NA,NA,12.02562928,10.45732971,NA,NA,NA,NA,NA,NA,12.59119686,10.58253534,21.44421025,NA,6.938183176,NA,NA,13.11699073,11.76628547,NA,NA,NA
Zm00001d000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.05764707,NA,NA,NA,NA,NA,NA,NA,15.3015423,18.02274929,NA,NA,NA
Zm00001d000030,349.5365653,718.6358686,NA,877.4982356,1158.903393,1227.840815,560.375926,938.556861,552.9997804,1050.073106,483.4316291,754.2375565,932.1540222,688.6767297,319.2289719,406.9497295,286.4541105,406.4381665,730.3448305,785.8765899,863.6502592,394.6926893,933.539374
Zm00001d000034,NA,NA,NA,NA,4.541147271,NA,NA,NA,NA,NA,NA,NA,NA,8.311729946,NA,NA,NA,NA,8.016576079,24.58822725,NA,NA,NA
Zm00001d000035,NA,55.33767691,NA,NA,40.15033724,76.84781971,NA,85.1332529,94.84808599,NA,59.30398684,33.83110734,41.40724481,56.93866273,74.40147396,52.17954332,NA,24.64077998,124.4597583,NA,NA,NA,NA
Zm00001d000038,NA,NA,NA,NA,NA,NA,NA,34.85626309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d000039,18.48454961,14.04073109,NA,NA,NA,NA,NA,34.64010057,NA,35.54052311,NA,NA,3.754943116,28.91092116,NA,NA,NA,NA,NA,NA,NA,NA,14.63310006
Zm00001d000041,35.67515962,47.01788089,NA,110.9516085,117.2838218,NA,NA,NA,94.76244863,114.7593821,NA,NA,24.96656397,26.44152277,NA,204.9037834,NA,NA,NA,NA,NA,50.58657503,66.38744144
Zm00001d000045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.486813,NA,45.48743081,NA,NA,54.35438327,NA,NA,NA,NA,NA,NA,NA
Zm00001d000046,NA,NA,NA,39.65982586,NA,NA,NA,119.9414784,NA,NA,NA,24.45815659,68.55455613,99.26688859,NA,NA,NA,13.3580443,73.99337357,NA,NA,377.0832023,NA
Zm00001d000055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.51544284,NA,NA,NA,NA
Zm00001d000060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217.177406,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d000098,NA,58.50269407,466.9856422,30.27350278,30.97425171,52.50415407,26.31207957,60.29174686,52.68654016,NA,63.41523655,29.7364076,25.19491081,47.17652664,NA,46.49797102,108.6312321,30.09409272,63.89055397,NA,NA,32.35854591,76.35936176
Zm00001d000099,27.69754855,NA,NA,NA,NA,44.84823868,NA,NA,NA,28.78673024,NA,NA,84.17180468,23.92756347,NA,NA,NA,NA,21.91278961,NA,NA,NA,NA
Zm00001d000102,73.21144973,30.9392431,NA,250.8050483,89.15869077,219.3294726,70.84729302,135.3343446,NA,63.95742086,116.8018275,170.3586153,89.10693801,105.431324,NA,40.62444103,195.1136308,24.09049213,248.7398266,257.1051624,132.017392,NA,91.14999381
